Accuracy,Misprediction Rate,F1,Runtime,Size,Tracefile,Predictor
0.6811,31.889999999999997,0.6505,4.487,3848.0,gcc_trace.txt,GShare_ML-nearest_pattern
0.47160000000000013,52.84000000000001,0.6091,2.6900000000000004,2108426.0,gcc_trace.txt,PShare2
0.5559000000000001,44.40999999999999,0.6731,2.514,8206.0,gcc_trace.txt,PShare2
0.5469999999999999,45.3,0.6688,2.5099999999999993,32852.0,gcc_trace.txt,PShare2
0.5304,46.959999999999994,0.6555,2.553,131526.0,gcc_trace.txt,PShare2
0.49850000000000005,50.14999999999999,0.6281999999999999,2.5569999999999995,526600.0,gcc_trace.txt,PShare2
0.4475999999999999,55.239999999999995,0.5946,2.7,8399882.0,gcc_trace.txt,PShare2
0.43790000000000007,56.21,0.5888,2.7030000000000003,33607692.0,gcc_trace.txt,PShare2
0.5412,45.88,0.668,2.5119999999999996,32782.0,gcc_trace.txt,PShare2
0.527,47.3,0.6597,2.524,131156.0,gcc_trace.txt,PShare2
0.5018,49.82,0.6401000000000001,2.556,524742.0,gcc_trace.txt,PShare2
0.4688,53.11999999999999,0.611,2.5609999999999995,2099464.0,gcc_trace.txt,PShare2
0.43899999999999995,56.1,0.5894000000000001,2.721,33565706.0,gcc_trace.txt,PShare2
0.4304,56.96,0.5842,2.702,134270988.0,gcc_trace.txt,PShare2
0.4161,58.39,0.5724,2.7159999999999997,537116686.0,gcc_trace.txt,PShare2
0.5347999999999999,46.519999999999996,0.6654,2.502,131086.0,gcc_trace.txt,PShare2
0.5181000000000001,48.19,0.6552,2.534,524372.0,gcc_trace.txt,PShare2
0.49050000000000005,50.95,0.6337,2.57,2097606.0,gcc_trace.txt,PShare2
0.45810000000000006,54.19,0.6047,2.591,8390920.0,gcc_trace.txt,PShare2
0.4365,56.35,0.5877999999999999,2.7250000000000005,134229002.0,gcc_trace.txt,PShare2
0.4283,57.169999999999995,0.5828,2.707,536924172.0,gcc_trace.txt,PShare2
0.4143,58.57000000000001,0.5712,2.723,2147729422.0,gcc_trace.txt,PShare2
0.3988999999999999,60.11,0.5575,2.745,8591048720.0,gcc_trace.txt,PShare2
0.5326000000000001,46.74,0.6643,2.504,524302.0,gcc_trace.txt,PShare2
0.5153999999999999,48.459999999999994,0.6538000000000002,2.5309999999999997,2097236.0,gcc_trace.txt,PShare2
0.4873,51.27,0.6319,2.565,8389062.0,gcc_trace.txt,PShare2
0.4551,54.489999999999995,0.6028,2.593,33556744.0,gcc_trace.txt,PShare2
0.6829,31.709999999999997,0.708,2.487,46.0,gcc_trace.txt,PShare2
0.6582,34.18,0.6982999999999999,2.496,142.0,gcc_trace.txt,PShare2
0.6536,34.64,0.6967,2.4880000000000004,596.0,gcc_trace.txt,PShare2
0.6255,37.45,0.6889000000000001,2.4800000000000004,526.0,gcc_trace.txt,PShare2
0.6166,38.34000000000001,0.6872,2.489,2132.0,gcc_trace.txt,PShare2
0.6067,39.33,0.6824000000000001,2.495,8646.0,gcc_trace.txt,PShare2
0.5811,41.89,0.6780999999999999,2.486,2062.0,gcc_trace.txt,PShare2
0.5732,42.68,0.6761999999999999,2.493,8276.0,gcc_trace.txt,PShare2
0.5685,43.14999999999999,0.6722,2.498,33222.0,gcc_trace.txt,PShare2
0.5465,45.35000000000001,0.6537,2.5140000000000002,133384.0,gcc_trace.txt,PShare2
0.8405000000000001,15.949999999999998,0.8387,3.0269999999999997,6156.0,gcc_trace.txt,Hybrid
